통신망,데이터구분,요금제명,가격,할인기간,할인후가격,데이터(GB),QoS(Mbps),통화(분),문자(건)
LG,LTE,모나500분4.5G,550,12개월간 할인,27500,4.5,-,500,200
LG,LTE,모나500분6G,550,12개월간 할인,29700,6,-,500,200
LG,LTE,모나100분6.6G안심1,550,6개월간 할인,25300,6.6,1,100,100
LG,LTE,모나400분4.5G,1100,평생 할인,25300,4.5,-,400,200
LG,LTE,모나400분11G,1650,6개월간 할인,35200,11,-,400,200
LG,LTE,모나120분4.5G,1870,평생 할인,18700,4.5,-,120,100
LG,LTE,모나300분4.5G,1980,평생 할인,23100,4.5,-,300,200
LG,LTE,모나500분8G,2200,12개월간 할인,33000,8,-,500,200
LG,5G,5G_모나120분6G,2530,평생 할인,20900,6,-,120,100
LG,LTE,모나500분1G,2640,평생 할인,18700,1,-,500,200
LG,5G,5G_모나500분4.5G,2640,평생 할인,14300,4.5,-,500,200
LG,LTE,모나300분10G안심1,2970,10개월간 할인,38500,10,1,300,200
LG,LTE,모나기본4.5G안심1+,2970,10개월간 할인,29700,4.5,1,기본제공,기본제공
LG,LTE,모나300분6G안심1,2970,12개월간 할인,29700,6,1,300,200
LG,5G,5G_모나300분3G,2970,평생 할인,20900,3,-,300,200
LG,LTE,모나400분8G,2970,12개월간 할인,30800,8,-,400,200
LG,5G,5G_모나210분6G,2970,평생 할인,23100,6,-,210,100
LG,LTE,(복지)모나120분1.5G,3300,,3300,1.5,-,120,100
LG,5G,5G_모나500분6G,3300,평생 할인,16500,6,-,500,200
LG,LTE,더중앙+_300분4.5GB,3300,평생 할인,23100,4.5,-,300,200
LG,LTE,신한카드_300분4.5G,3300,평생 할인,19800,4.5,-,300,200
LG,LTE,모나300분6G,3410,평생 할인,25300,6,-,300,200
LG,5G,5G_모나300분6G,3520,평생 할인,25300,6,-,300,200
LG,LTE,모나안심차단(120분1GB),3630,평생 할인,8800,1,-,120,100
LG,LTE,카페_300분4.5G,3630,평생 할인,18700,4.5,-,300,100
LG,LTE,모나400분6G,3960,평생 할인,27500,6,-,400,200
LG,LTE,모나안심차단(210분3GB),4400,평생 할인,8800,3,-,210,100
LG,5G,5G_모나120분11G,4620,평생 할인,28600,11,-,120,100
LG,LTE,모나120분8G,4620,평생 할인,24200,8,-,120,100
LG,LTE,모나안심차단(300분4.5GB),4950,평생 할인,12100,4.5,-,300,100
LG,LTE,모나안심차단(120분4GB),5280,평생 할인,9900,4,-,120,100
LG,LTE,모나300분8G,5280,평생 할인,28600,8,-,300,200
LG,LTE,모나300분4.5G안심1,5390,평생 할인,27500,4.5,1,300,200
LG,LTE,모나500분4.5G안심1,5500,평생 할인,33000,4.5,1,500,200
LG,LTE,신한카드_500분6G,5500,평생 할인,19800,6,-,500,200
LG,LTE,교보sam_500분6G,5940,평생 할인,29700,6,-,500,200
LG,5G,5G_모나500분8G,5940,평생 할인,19800,8,-,500,200
LG,5G,5G_모나500분11G,5940,평생 할인,24200,11,-,500,200
LG,LTE,모나120분11G,5940,평생 할인,28600,11,-,120,100
LG,LTE,모나안심차단(210분5GB),5940,평생 할인,13200,5,-,210,100
LG,LTE,모나200분5G안심1,6380,평생 할인,24200,5,1,200,100
LG,LTE,편의점_210분6G,6490,평생 할인,17600,6,-,210,100
LG,5G,5G_모나210분11G,6600,평생 할인,22880,11,-,210,100
LG,LTE,모나안심차단(300분6GB),6600,평생 할인,15400,6,-,300,100
LG,LTE,"모나1,000분10G",6600,평생 할인,33000,10,-,1000,100
LG,LTE,모나300분11G,6600,평생 할인,33000,11,-,300,200
LG,5G,5G_모나500분10G,6820,평생 할인,22000,10,-,500,200
LG,LTE,패스트푸드_500분6G,6930,평생 할인,24200,6,-,500,200
LG,5G,5G_모나300분11G,7040,평생 할인,33000,11,-,300,200
LG,LTE,모나500분11G,7370,평생 할인,37400,11,-,500,200
LG,LTE,신한카드_500분10G,7700,평생 할인,27500,10,-,500,200
LG,5G,5G_모나300분15G안심1,7700,12개월간 할인,42350,15,1,300,300
LG,LTE,더중앙+_500분10G,7700,평생 할인,37400,10,-,500,200
LG,LTE,카페_500분10G,7920,평생 할인,20900,10,-,500,200
LG,LTE,모나기본4.5G안심1,8580,평생 할인,29700,4.5,1,기본제공,기본제공
LG,LTE,모나스마트디바이스10G,8690,평생 할인,12100,10,-,0,0
LG,LTE,모나기본5G안심1,8800,평생 할인,33000,5,1,기본제공,기본제공
LG,5G,5G_모나300분15G,8910,평생 할인,36300,15,-,300,300
LG,LTE,모나100분10G안심1,9350,평생 할인,30800,10,1,100,100
LG,LTE,모나1000분10G,9900,평생 할인,33000,15(10GB+5GB),-,1000,100
LG,LTE,캐시_500분10G,9900,평생 할인,25300,10,-,500,200
LG,LTE,부커스_기본4.5G안심1,9900,평생 할인,29700,4.5,1,기본제공,기본제공
LG,LTE,교보sam_기본4.5G안심1,9900,평생 할인,29700,4.5,1,기본제공,기본제공
LG,LTE,카카오이모티콘+_120분10G,10450,평생 할인,28600,10,-,120,100
LG,LTE,교보sam_스마트디바이스10G,10890,평생 할인,19800,10,-,0,0
LG,LTE,부커스_스마트디바이스10G,10890,평생 할인,19800,10,200Kbps,0,0
LG,LTE,편의점_기본4.5G안심1,10890,평생 할인,27500,4.5,1,기본제공,기본제공
LG,LTE,캐시_300분6G안심1,10890,평생 할인,27500,6,1,300,100
LG,LTE,모나기본6G안심1,11990,12개월간 할인,31900,6,1,기본제공,기본제공
LG,LTE,모나스마트디바이스20G,11990,평생 할인,16500,20,-,0,0
LG,LTE,모나기본7G안심1,12100,7개월간 할인,35200,7,1,기본제공,기본제공
LG,LTE,모나기본1G안심1,13420,평생 할인,19800,11(1GB+10GB),1,기본제공,기본제공
LG,LTE,NA알뜰7GB+1Mbps,13970,12개월간 할인,22000,7,1,기본제공,기본제공
LG,LTE,모나100분15G안심3,15070,7개월간 할인,38500,15,3,100,100
LG,LTE,모나300분15G안심3,16060,7개월간 할인,42900,15,3,300,300
LG,LTE,모나기본10G안심1,16060,7개월간 할인,44000,10,1,기본제공,기본제공
LG,LTE,코나아이데이터7G+1M,16060,평생 할인,22000,7,1,기본제공,기본제공
LG,LTE,모나음성기본15G+,17050,7개월간 할인,25300,15,1,기본제공,기본제공
LG,LTE,모나데이터11G+일2G안심3,18040,7개월간 할인,48400,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,코나아이데이터10G+1M,19030,평생 할인,26400,20(10GB+10GB),1,기본제공,기본제공
LG,LTE,코나아이데이터15G+1M,20020,평생 할인,28600,25(15GB+10GB),1,기본제공,기본제공
LG,LTE,교보sam_11G+일2G,20020,7개월간 할인,41800,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,더중앙+모나_11G+일2G,20020,7개월간 할인,39600,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,모나Fit_100분15GB+,20900,평생 할인,38500,15,3,100,100
LG,LTE,NA수다100데이터15GB+,21010,24개월간 할인,31900,15,3,100,100
LG,LTE,코나아이데이터15G,21010,평생 할인,38500,15,3,100,100
LG,LTE,모나Fit_300분15GB+,21890,평생 할인,40700,15,3,300,300
LG,LTE,리타민_11G+일2G,21890,7개월간 할인,41800,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,신한나라사랑_300분15GB+3M,22000,24개월간 할인,35200,15,3,300,300
LG,LTE,NA수다300데이터15GB+,22000,24개월간 할인,34100,15,3,300,300
LG,LTE,코나아이데이터300분15G+,22000,평생 할인,34100,15,3,300,300
LG,LTE,모나데이터매일5G안심5,23100,7개월간 할인,55000,150(일 5GB),5,기본제공,기본제공
LG,LTE,더중앙+모나_100G+5M,23100,7개월간 할인,48400,100,5,기본제공,기본제공
LG,LTE,카페_11G+일2G+3Mbps,24090,24개월간 할인,44000,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,신한나라사랑_11GB+일2G+3M,24090,24개월간 할인,44000,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,NA알뜰11G+일2G+3Mbps,24090,24개월간 할인,39600,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,카카오이모티콘+_100G+5M,24970,7개월간 할인,48400,100,5,기본제공,기본제공
LG,LTE,코나아이데이터11G+일2G,25630,평생 할인,48400,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,패스트푸드_NA알뜰11G+일2G+3Mbps,25960,24개월간 할인,44000,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,라이프_데이터11G+일2G,25960,24개월간 할인,46200,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,편의점_데이터11G+일2G,25960,24개월간 할인,44000,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,캐시_데이터11G+일2G,26950,24개월간 할인,44000,71(11GB+일 2GB),3,기본제공,기본제공
LG,LTE,신한나라사랑_100GB+5M,27060,24개월간 할인,46200,100,5,기본제공,기본제공
LG,LTE,신한나라사랑_일5GB+5M,27060,24개월간 할인,46200,150(일 5GB),5,기본제공,기본제공
LG,LTE,NA알뜰매일5GB+5Mbps,27060,24개월간 할인,46200,150(일 5GB),5,기본제공,기본제공
LG,LTE,모나기본100G안심5,27060,24개월간 할인,48400,100,5,기본제공,기본제공
LG,5G,5G_모나기본125G안심5,27940,24개월간 할인,57200,125,5,기본제공,기본제공
LG,LTE,코나아이데이터매일5G,28930,평생 할인,55000,150(일 5GB),5,기본제공,기본제공
LG,LTE,코나아이데이터100G+5M,28930,평생 할인,48400,100,5,기본제공,기본제공
LG,5G,5G_모나기본95G안심3,29920,평생 할인,55000,95,3,기본제공,기본제공
LG,5G,5G_모나기본12G안심1,31900,평생 할인,47300,12,1,기본제공,기본제공
LG,LTE,이투스_11G+일2G,36960,7개월간 할인,68200,71(11GB+일 2GB),3,기본제공,기본제공
LG,5G,5G_모나기본50G안심1,37510,평생 할인,50600,50,1,기본제공,기본제공
LG,5G,5G_모나기본150G안심5,46530,평생 할인,62700,150,5,기본제공,기본제공
LG,5G,5G_모나기본180G안심10,49610,평생 할인,66000,180,10,기본제공,기본제공
